,DAY,base,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
0,2020-01-02,EUR,1.6006,1.9558,4.487,1.4549,1.0865,7.7946,25.411,7.4719,0.84828,8.7203,7.4445,329.98,15540.92,3.869,79.9065,136.9,121.75,1298.24,21.1383,4.5764,9.8408,1.6718,56.825,4.2544,4.7828,69.1893,10.4728,1.5084,33.741,6.6699,1.1193,15.7496
1,2020-01-03,EUR,1.6031,1.9558,4.5271,1.4471,1.084,7.7712,25.36,7.4731,0.85115,8.6713,7.4463,330.53,15536.69,3.8766,80.0085,136.9,120.54,1300.32,21.1433,4.5725,9.8315,1.6718,56.983,4.2493,4.7784,69.119,10.4858,1.5047,33.614,6.6587,1.1147,15.9222
2,2020-01-06,EUR,1.6119,1.9558,4.5461,1.4525,1.085,7.8049,25.301,7.4732,0.85215,8.6978,7.445,329.66,15604.44,3.8913,80.5175,137.3,121.02,1308.83,21.1418,4.594,9.8488,1.6788,57.247,4.2415,4.7743,69.4047,10.5308,1.511,33.744,6.69,1.1194,15.9465
3,2020-01-07,EUR,1.6251,1.9558,4.5625,1.452,1.085,7.7562,25.276,7.4731,0.85183,8.6836,7.4478,331.28,15501.15,3.8731,80.265,137.3,121.15,1302.48,21.0852,4.5727,9.8548,1.6833,56.832,4.2457,4.7778,69.2576,10.5423,1.5081,33.823,6.676,1.1172,15.9724
4,2020-01-08,EUR,1.6195,1.9558,4.5092,1.447,1.0792,7.7184,25.265,7.4731,0.84868,8.6424,7.449,331.08,15441.51,3.8541,79.709,137.1,120.86,1297.37,20.9079,4.5588,9.8508,1.6739,56.42,4.2429,4.7774,68.6389,10.5108,1.5014,33.74,6.6158,1.1115,15.8166
5,2020-01-09,EUR,1.6193,1.9558,4.5194,1.4505,1.0808,7.7011,25.253,7.4731,0.85285,8.6317,7.446,332.51,15387.35,3.8556,79.162,137.7,121.54,1288.28,20.8637,4.5445,9.8665,1.6796,56.25,4.2422,4.7785,68.0757,10.533,1.5018,33.647,6.5331,1.111,15.7839
6,2020-01-10,EUR,1.6132,1.9558,4.5188,1.4498,1.0822,7.6773,25.265,7.4731,0.8481,8.6137,7.4445,333.85,15263.99,3.8476,78.6915,136.6,121.6,1286.0,20.8634,4.5212,9.8745,1.6769,55.998,4.2462,4.7796,68.041,10.551,1.4969,33.534,6.5198,1.1091,15.8081
7,2020-01-13,EUR,1.6117,1.9558,4.5832,1.4514,1.0811,7.6697,25.23,7.4732,0.8576,8.6504,7.4445,334.29,15243.73,3.8604,78.8225,137.2,122.25,1288.09,20.9084,4.5199,9.8955,1.6769,56.147,4.2348,4.7784,68.0893,10.5598,1.4989,33.62,6.5219,1.1126,15.9948
8,2020-01-14,EUR,1.611,1.9558,4.6056,1.4528,1.0767,7.6536,25.155,7.4731,0.85618,8.6447,7.445,332.77,15219.55,3.8541,78.7285,137.2,122.32,1285.74,20.9406,4.5288,9.892,1.6803,56.242,4.2219,4.7795,68.2418,10.5248,1.4981,33.624,6.5448,1.1115,16.0274
9,2020-01-15,EUR,1.6188,1.9558,4.635,1.4565,1.0751,7.6746,25.144,7.4727,0.85683,8.6591,7.4443,332.94,15262.3,3.8561,78.8825,136.6,122.43,1289.22,20.9542,4.5409,9.882,1.6905,56.521,4.2265,4.7803,68.4386,10.559,1.5011,33.693,6.558,1.1142,16.0218
10,2020-01-16,EUR,1.6115,1.9558,4.6519,1.4559,1.0739,7.6837,25.17,7.4729,0.8547,8.6812,7.4418,333.84,15223.35,3.8575,79.221,137.0,122.8,1293.87,20.9901,4.5377,9.9058,1.6769,56.776,4.2324,4.779,68.8102,10.5678,1.5025,33.915,6.5363,1.1169,16.1229
11,2020-01-17,EUR,1.6122,1.9558,4.639,1.4498,1.0736,7.6186,25.147,7.4729,0.85105,8.6292,7.4378,335.59,15184.91,3.8372,78.9567,137.4,122.31,1288.37,20.8338,4.5041,9.889,1.6782,56.548,4.2367,4.7803,68.2495,10.545,1.496,33.746,6.5323,1.1108,16.0582
12,2020-01-20,EUR,1.6154,1.9558,4.636,1.4487,1.0737,7.6112,25.125,7.4726,0.85275,8.6112,7.4358,336.39,15118.3,3.8326,78.784,137.6,122.14,1286.08,20.694,4.5022,9.8815,1.6796,56.489,4.2433,4.7794,68.2075,10.5548,1.4943,33.647,6.5604,1.1085,16.1045
13,2020-01-21,EUR,1.6177,1.9558,4.6661,1.4512,1.0743,7.6732,25.066,7.4725,0.8503,8.6362,7.4375,335.32,15197.89,3.8405,79.1345,137.8,122.31,1298.12,20.8194,4.5255,9.936,1.6811,56.689,4.2438,4.7785,68.73,10.5523,1.4994,33.79,6.5938,1.1115,16.0899
14,2020-01-22,EUR,1.6184,1.9558,4.6486,1.4465,1.0757,7.653,25.136,7.4729,0.84445,8.617,7.4375,335.61,15137.71,3.8279,78.8665,137.8,121.93,1290.57,20.7417,4.5078,9.959,1.6782,56.499,4.2378,4.7784,68.6934,10.5528,1.4954,33.685,6.5673,1.1088,15.975
15,2020-01-23,EUR,1.6149,1.9558,4.6253,1.4599,1.0734,7.6897,25.159,7.4732,0.84498,8.6201,7.4438,337.19,15141.43,3.8336,79.0965,137.8,121.5,1295.15,20.7527,4.514,9.9678,1.6797,56.514,4.2439,4.7788,68.6301,10.5473,1.4971,33.883,6.5771,1.1091,15.9503
16,2020-01-24,EUR,1.6127,1.9558,4.6084,1.4491,1.0712,7.6509,25.16,7.473,0.84313,8.577,7.4415,336.01,15002.91,3.81,78.67,137.4,120.96,1289.12,20.717,4.4857,9.9375,1.6684,56.092,4.2565,4.7799,68.1692,10.5363,1.491,33.723,6.5539,1.1035,15.8585
17,2020-01-27,EUR,1.6291,1.9558,4.6467,1.4539,1.0689,7.6477,25.231,7.4728,0.84358,8.5745,7.4415,337.53,14999.51,3.8151,78.7425,137.4,120.11,1298.34,20.8715,4.4822,10.0363,1.6814,56.084,4.2715,4.7808,69.0442,10.5795,1.4965,33.869,6.5566,1.1025,16.0431
18,2020-01-28,EUR,1.629,1.9558,4.6196,1.4516,1.0703,7.6338,25.221,7.4728,0.84603,8.5578,7.441,337.18,15008.07,3.8033,78.4545,137.2,120.02,1297.2,20.7316,4.4972,10.0758,1.6844,55.878,4.2731,4.7784,68.9032,10.5993,1.4949,33.945,6.5475,1.1005,16.1249
19,2020-01-29,EUR,1.6299,1.9558,4.6089,1.4496,1.0729,7.631,25.208,7.4728,0.8458,8.5503,7.442,337.39,14991.61,3.8053,78.417,135.9,120.06,1296.65,20.6109,4.4884,10.0563,1.6868,55.929,4.2837,4.777,68.9755,10.5753,1.4971,34.07,6.5559,1.1001,16.0719
20,2020-01-30,EUR,1.6412,1.9558,4.6836,1.4577,1.069,7.6504,25.25,7.4729,0.84183,8.5678,7.4423,338.36,15094.84,3.808,79.011,135.9,120.03,1315.0,20.6985,4.5087,10.1738,1.6973,56.246,4.2873,4.777,69.6719,10.6398,1.503,34.405,6.597,1.1029,16.2673
21,2020-01-31,EUR,1.6494,1.9558,4.7157,1.4627,1.0694,7.6664,25.21,7.4731,0.84175,8.5843,7.444,337.05,15091.51,3.809,78.9055,136.3,120.35,1321.6,20.8044,4.5297,10.1893,1.7083,56.382,4.3009,4.7789,70.3375,10.6768,1.5092,34.46,6.6117,1.1052,16.49
22,2020-02-03,EUR,1.6521,1.9558,4.717,1.4647,1.0672,7.7681,25.177,7.4729,0.84775,8.5935,7.4465,337.7,15207.45,3.8135,79.0035,137.3,120.1,1319.12,20.8183,4.5526,10.259,1.7106,56.293,4.2968,4.7788,70.5988,10.6808,1.5138,34.349,6.6221,1.1066,16.4806
23,2020-02-04,EUR,1.6439,1.9558,4.6704,1.4671,1.0702,7.7298,25.143,7.4729,0.8488,8.5805,7.4518,336.32,15146.81,3.813,78.712,137.9,120.52,1310.75,20.6722,4.5424,10.1948,1.7102,56.102,4.2753,4.7763,69.8725,10.6278,1.5139,34.194,6.6073,1.1048,16.3262
24,2020-02-05,EUR,1.6299,1.9558,4.6614,1.4644,1.0717,7.6858,25.055,7.4728,0.84444,8.5572,7.4568,335.76,15036.47,3.7981,78.433,138.1,120.94,1302.97,20.4923,4.5382,10.1173,1.7006,55.961,4.2491,4.7734,69.032,10.545,1.5202,34.133,6.5975,1.1023,16.2246
