,DAY,base,EUR,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
0,2020-01-02,RUB,0.0144531019,0.0231336348,0.0282673766,0.064851068,0.0210278179,0.0157032952,0.1126561477,0.3672677712,0.1079921317,0.0122602772,0.1260353841,0.1075961167,4.7692345493,224.6144996408,0.0559190511,1.1548967832,1.9786296436,1.7596651505,18.7635949489,0.3055140029,0.0661431753,0.1422300847,0.0241626957,0.8212975128,0.0614892765,0.0691262955,1.0,0.1513644451,0.0218010588,0.4876621096,0.096400744,0.0161773569,0.2276305729
1,2020-01-03,RUB,0.0144678019,0.0231933332,0.028296127,0.065497186,0.0209363561,0.0156830973,0.1124321822,0.3669034564,0.1081193304,0.0123142696,0.1254546507,0.1077315933,4.7820425643,224.7817532082,0.0560858809,1.1575471289,1.980642081,1.7439488419,18.8127721755,0.3058970761,0.0661540242,0.1422401944,0.0241872712,0.8244187561,0.0614780306,0.0691329446,1.0,0.1517064772,0.0217697015,0.4863206933,0.0963367526,0.0161272588,0.2303592355
2,2020-01-06,RUB,0.0144082461,0.0232246519,0.0281796478,0.0655013277,0.0209279775,0.015632947,0.1124549202,0.3645430353,0.107675705,0.0122779869,0.1253200432,0.1072693924,4.7498224184,224.8326122006,0.0560668082,1.1601159576,1.9782521933,1.7436859463,18.857944779,0.304616258,0.0661914827,0.1419039345,0.0241885636,0.8248288661,0.0611125759,0.0687892895,1.0,0.1517303583,0.0217708599,0.4861918573,0.0963911666,0.0161285907,0.2297610969
3,2020-01-07,RUB,0.0144388486,0.0234645728,0.0282395001,0.0658772467,0.0209652082,0.0156661507,0.1119905974,0.3649563369,0.1079029594,0.0122994444,0.1253811856,0.1075376565,4.7833017604,223.818757797,0.0559231045,1.158934182,1.9824539112,1.7492665065,18.8063115095,0.3044460103,0.0660245229,0.1422919651,0.0243049138,0.820588643,0.0613030195,0.0689859308,1.0,0.1522186735,0.0217752276,0.4883651758,0.0963937532,0.0161310816,0.2306230652
4,2020-01-08,RUB,0.014568998,0.0235944923,0.0284940464,0.065694526,0.0210813402,0.0157228627,0.1124493545,0.3680857356,0.1088755793,0.0123644173,0.1259111087,0.1085244664,4.8235038732,224.9673290219,0.0561503754,1.1612802653,1.9974096321,1.7608091039,18.9013809953,0.3046071543,0.0664171483,0.143516286,0.0243870458,0.8219828698,0.0618148018,0.0696019313,1.0,0.1531318247,0.0218738937,0.4915579941,0.0963855773,0.0161934413,0.2304320145
5,2020-01-09,RUB,0.0146895295,0.023786755,0.0287297817,0.0663878594,0.0213071625,0.0158764434,0.1131255352,0.3709546872,0.1097763225,0.0125279652,0.1267956114,0.1093782363,4.8844154375,226.0329309871,0.0566369497,1.1628525303,2.0227482053,1.7853654094,18.9242270002,0.3064779356,0.0667565666,0.1449342423,0.0246725337,0.8262860316,0.0623159218,0.0701939165,1.0,0.1547248137,0.0220607353,0.4942585974,0.0959681649,0.0163200672,0.2318580639
6,2020-01-10,RUB,0.0146970209,0.0237092341,0.0287444335,0.0664128981,0.0213077409,0.015905116,0.1128334387,0.3713202334,0.109832307,0.0124645434,0.126595729,0.1094119722,4.9066004321,224.335180259,0.0565482577,1.1565306212,2.0076130568,1.7871577431,18.9003688952,0.3066298261,0.066448171,0.145125733,0.0246454344,0.8230037771,0.0624064902,0.0702458812,1.0,0.1550682677,0.0219999706,0.4928498993,0.095821637,0.0163004659,0.2323319763
7,2020-01-13,RUB,0.0146865954,0.0236703858,0.0287240433,0.067311604,0.0213161246,0.0158776783,0.1126417807,0.3705428019,0.1097558647,0.0125952242,0.1270449248,0.1093343594,4.9095819754,223.878494859,0.0566961329,1.1576341657,2.0150008885,1.7954362873,18.9176566656,0.3070732112,0.0663819425,0.1453312048,0.0246279518,0.8246082718,0.0621947942,0.0701784274,1.0,0.1550875101,0.0220137378,0.4937633373,0.0957845065,0.016340306,0.2349091561
8,2020-01-14,RUB,0.0146537753,0.0236072319,0.0286598536,0.0674894273,0.0212890047,0.0157777198,0.1121541343,0.3686157165,0.1095091278,0.0125462693,0.1266774909,0.1090973568,4.8763367906,223.0238651384,0.0564771152,1.1536697449,2.0104979646,1.7924497888,18.8409449927,0.306858846,0.0663640174,0.1449551448,0.0246227386,0.8241576277,0.0618667737,0.0700377188,1.0,0.1542280538,0.0219528207,0.4927185391,0.0959060283,0.0162876712,0.2348619175
9,2020-01-15,RUB,0.0146116373,0.0236533184,0.0285774402,0.0677249389,0.0212818497,0.0157089713,0.1121384716,0.3673950081,0.109188382,0.0125196892,0.1265236285,0.1087734115,4.8647985201,223.0071918479,0.0563439346,1.1526024787,1.9959496541,1.7889027537,18.8376150301,0.3061751702,0.0663499838,0.1443921997,0.0247009728,0.8258643514,0.061756085,0.0698480097,1.0,0.1542842782,0.0219335287,0.4923098953,0.0958231174,0.0162802863,0.2341047304
