,DAY,base,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
0,2020-01-02,USD,1.4300008934,1.7473420888,4.0087554722,1.299830251,0.9706959707,6.9638166711,22.7025819709,6.6755114804,0.7578665237,7.790851425,6.6510318949,294.8092557849,13884.4992405968,3.4566246761,71.3897078531,122.3085857232,108.7733404807,1159.8677745019,18.8852854463,4.0886268203,8.7919235236,1.493612079,50.7683373537,3.8009470205,4.2730277852,61.8147949611,9.356562137,1.3476279818,30.1447333155,5.9589922273,1.0,14.0709371929
1,2020-01-03,USD,1.4381447923,1.7545527945,4.0612720911,1.2981968243,0.9724589576,6.9715618552,22.7505158339,6.7041356419,0.7635686732,7.7790436889,6.6800932986,296.5192428456,13938.0012559433,3.4777070064,71.7758141204,122.813312999,108.1367183996,1166.520139948,18.9677043151,4.1020005383,8.8198618462,1.4997757244,51.1195837445,3.8120570557,4.2867139141,62.0068179779,9.40683592,1.3498699202,30.1551987082,5.9735354804,1.0,14.2838431865
2,2020-01-06,USD,1.4399678399,1.7471859925,4.0611934965,1.2975701269,0.9692692514,6.9723959264,22.6022869394,6.6760764695,0.76125603,7.7700553868,6.6508844024,294.4970519921,13940.0035733429,3.47623727,71.9291584778,122.6549937467,108.1114882973,1169.2245845989,18.8867250313,4.1039842773,8.7982847954,1.4997319993,51.1407897088,3.7890834376,4.2650527068,62.0016973379,9.4075397534,1.3498302662,30.1447203859,5.9764159371,1.0,14.2455779882
3,2020-01-07,USD,1.4546186896,1.7506265664,4.0838703903,1.2996777658,0.9711779449,6.9425349087,22.6244181883,6.6891335482,0.7624686717,7.7726459005,6.6664876477,296.5270318654,13875.0,3.4667919799,71.8447905478,122.8965270319,108.4407447189,1165.843179377,18.873254565,4.093000358,8.820981024,1.5067132116,50.8700322234,3.8003043323,4.2765843179,61.9921231651,9.436358754,1.3498925886,30.2747941282,5.9756534193,1.0,14.2968134622
4,2020-01-08,USD,1.457040036,1.7596041386,4.056860099,1.3018443545,0.9709401709,6.9441295547,22.7305443095,6.7234367971,0.7635447593,7.7754385965,6.701754386,297.8677462888,13892.4966261808,3.4674763833,71.7130004498,123.34682861,108.7359424202,1167.224471435,18.8105263158,4.1014844804,8.8626180837,1.505982906,50.7602339181,3.8172739541,4.2981556455,61.7533963113,9.4564102564,1.3507872245,30.3553756185,5.9521367521,1.0,14.2299595142
5,2020-01-09,USD,1.4575157516,1.7603960396,4.0678667867,1.3055805581,0.9728172817,6.9316831683,22.7299729973,6.7264626463,0.7676417642,7.7693069307,6.702070207,299.2889288929,13850.0,3.4703870387,71.2529252925,123.9423942394,109.396939694,1159.5679567957,18.7792079208,4.0904590459,8.8807380738,1.5117911791,50.6300630063,3.8183618362,4.301080108,61.2742574257,9.4806480648,1.3517551755,30.2853285329,5.8803780378,1.0,14.2069306931
6,2020-01-10,USD,1.4545126679,1.7634117753,4.074294473,1.3071860067,0.9757461004,6.9220989992,22.7797313137,6.7379857542,0.76467406,7.7663871608,6.7121990803,301.0098277883,13762.5011270399,3.4691191056,70.9507708953,123.1629248941,109.6384455865,1159.4986926337,18.8111081057,4.0764583897,8.9031647282,1.5119466234,50.4895861509,3.8285096024,4.3094400866,61.347939771,9.5131187449,1.3496528717,30.23532594,5.8784600126,1.0,14.2530880894
7,2020-01-13,USD,1.4485888909,1.7578644616,4.1193600575,1.304511954,0.9716879382,6.8934927198,22.6766133381,6.7168793816,0.7708071185,7.7749415783,6.6910839475,300.4583857631,13700.9976631314,3.4697105878,70.8453172749,123.314758224,109.8777637965,1157.7296422793,18.7923782132,4.0624662952,8.8940319971,1.5071903649,50.4646773324,3.8062196656,4.2948049614,61.198364192,9.4911019234,1.3472047456,30.2175085386,5.8618551141,1.0,14.3760560848
8,2020-01-14,USD,1.4493927126,1.7596041386,4.1435897436,1.3070625281,0.9686909582,6.8858299595,22.6315789474,6.7234367971,0.7702923977,7.7775078722,6.6981556455,299.3882141251,13692.8025191183,3.4674763833,70.8308591993,123.436797121,110.0494826811,1156.7611336032,18.8399460189,4.0744939271,8.8996851102,1.5117408907,50.6000899685,3.7983805668,4.3000449843,61.396131354,9.469005848,1.3478182636,30.2510121457,5.8882591093,1.0,14.4196131354
9,2020-01-15,USD,1.4528809908,1.7553401544,4.1599353796,1.3072159397,0.964907557,6.887991384,22.5668641178,6.7067851373,0.7690091546,7.7715849937,6.6812959971,298.8152934841,13697.9895889427,3.4608687848,70.7974331359,122.5991742955,109.8815293484,1157.0813139472,18.8064979357,4.0754801651,8.8691437803,1.5172320948,50.7278765033,3.7933046132,4.2903428469,61.4239813319,9.4767546222,1.3472446598,30.239633818,5.8858373721,1.0,14.379644588
